Row,Write,kill API,chdir API,Accept,B/M/M,Connect,network_http,clone API,Rename,Read,postgresql,S/P,execve API,Label
857,2000,0,0,20,112,0,1008,0,0,3021,0,1988,0,1
858,1000,0,0,10,68,0,504,0,0,1520,0,994,0,1
859,1857,0,0,20,88,0,936,0,0,2806,0,1848,0,1
860,2000,0,0,20,114,0,1016,0,0,3022,0,1998,0,1
861,1000,0,0,10,112,0,509,0,0,1531,0,992,0,1
862,1876,0,0,20,114,0,946,0,0,2845,0,1868,0,1
863,2000,0,0,20,128,0,1008,0,0,3029,0,1990,0,1
864,944,0,0,10,70,0,476,0,0,1434,0,938,0,1
865,1944,0,0,20,140,0,988,0,0,2947,0,1942,0,1
866,1944,0,0,20,138,0,988,0,0,2947,0,1934,0,1
867,1000,0,0,10,92,0,504,0,0,1531,0,994,0,1
868,1858,0,0,20,86,0,938,0,0,2808,0,1842,0,1
869,2000,0,0,20,96,0,1008,0,0,3020,0,1994,0,1
870,1000,0,0,10,90,0,509,0,0,1520,0,994,0,1
871,1870,0,0,20,130,0,952,0,0,2838,0,1874,0,1
872,2000,0,0,20,126,0,1008,0,0,3029,0,2004,0,1
873,950,0,0,10,86,0,479,0,0,1451,0,946,0,1
874,1948,0,0,20,84,0,982,0,0,2943,0,1938,0,1
875,1948,0,0,20,136,0,990,0,0,2953,0,1944,0,1
876,1000,0,0,10,94,0,509,0,0,1523,0,996,0,1
877,1849,0,0,20,108,0,933,0,0,2804,0,1844,0,1
878,2000,0,0,20,96,0,1008,0,0,3020,0,1994,0,1
879,1000,0,0,10,88,0,504,0,0,1528,0,996,0,1
880,1876,0,0,20,108,0,955,0,0,2836,0,1870,0,1
881,2000,0,0,20,144,0,1016,0,0,3031,0,1992,0,1
882,948,0,0,10,90,0,479,0,0,1451,0,944,0,1
883,1949,0,0,20,110,0,983,0,0,2956,0,1938,0,1
884,1950,0,0,20,96,0,983,0,0,2943,0,1952,0,1
885,1000,0,0,10,92,0,508,0,0,1522,0,992,0,1
886,1842,0,0,20,112,0,937,0,0,2786,0,1833,0,1
887,2000,0,0,20,120,0,1008,0,0,3031,0,1992,0,1
888,1000,0,0,10,90,0,505,0,0,1529,0,992,0,1
889,1888,0,0,20,104,0,952,0,0,2864,0,1878,0,1
890,2000,0,0,20,120,0,1016,0,0,3020,0,1990,0,1
891,962,0,0,10,112,0,489,0,0,1474,0,956,0,1
892,1962,0,0,20,126,0,989,0,0,2972,0,1948,0,1
893,1912,0,0,18,110,0,964,0,0,2896,0,1902,0,1
894,1000,0,0,10,68,0,505,0,0,1520,0,994,0,1
895,1890,0,0,20,122,0,961,0,0,2856,0,1876,0,1
896,2000,0,0,20,118,0,1016,0,0,3023,0,1996,0,1
897,1000,0,0,10,90,0,504,0,0,1529,0,994,0,1
898,1890,0,0,20,108,0,953,0,0,2865,0,1876,0,1
899,2000,0,0,20,122,0,1008,0,0,3028,0,1982,0,1
900,974,0,0,10,112,0,496,0,0,1492,0,968,0,1
901,1974,0,0,20,136,0,1002,0,0,2994,0,1958,0,1
902,1878,0,0,20,124,0,948,0,0,2846,0,1872,0,1
903,1000,0,0,10,70,0,504,0,0,1520,0,1002,0,1
904,1856,0,0,20,86,0,936,0,0,2806,0,1844,0,1
905,2000,0,0,20,114,0,1016,0,0,3020,0,2000,0,1
906,1000,0,0,10,114,0,509,0,0,1531,0,1000,0,1
907,1872,0,0,20,104,0,944,0,0,2837,0,1866,0,1
908,2000,0,0,20,126,0,1008,0,0,3029,0,2008,0,1
909,974,0,0,10,68,0,491,0,0,1479,0,964,0,1
910,1974,0,0,20,132,0,1004,0,0,2996,0,1978,0,1
911,1883,0,0,20,140,0,958,0,0,2855,0,1880,0,1
912,1000,0,0,10,90,0,504,0,0,1531,0,992,0,1
913,1898,0,0,20,86,0,957,0,0,2866,0,1896,0,1
914,2000,0,0,20,96,0,1008,0,0,3020,0,1996,0,1
915,1000,0,0,10,90,0,509,0,0,1520,0,992,0,1
916,1876,0,0,20,130,0,954,0,0,2848,0,1866,0,1
917,2000,0,0,20,120,0,1008,0,0,3029,0,2002,0,1
918,962,0,0,10,84,0,485,0,0,1471,0,952,0,1
919,1960,0,0,20,104,0,988,0,0,2960,0,1944,0,1
920,1922,0,0,20,134,0,978,0,0,2914,0,1918,0,1
921,1000,0,0,10,94,0,509,0,0,1523,0,996,0,1
922,1890,0,0,20,104,0,953,0,0,2865,0,1894,0,1
923,2000,0,0,20,92,0,1008,0,0,3020,0,1994,0,1
924,1000,0,0,10,86,0,504,0,0,1528,0,994,0,1
925,1880,0,0,20,104,0,957,0,0,2842,0,1868,0,1
926,2000,0,0,20,142,0,1017,0,0,3031,0,1996,0,1
927,980,0,0,10,88,0,495,0,0,1498,0,978,0,1
928,1978,0,0,20,104,0,997,0,0,2997,0,1972,0,1
929,1892,0,0,20,98,0,954,0,0,2856,0,1882,0,1
930,1000,0,0,10,92,0,508,0,0,1522,0,996,0,1
931,1880,0,0,20,112,0,956,0,0,2845,0,1870,0,1
932,2000,0,0,20,124,0,1008,0,0,3031,0,1998,0,1
933,1000,0,0,10,90,0,505,0,0,1529,0,996,0,1
934,1884,0,0,20,108,0,950,0,0,2855,0,1874,0,1
935,2000,0,0,20,116,0,1017,0,0,3020,0,2000,0,1
936,978,0,0,10,112,0,497,0,0,1498,0,970,0,1
937,1959,0,0,18,128,0,987,0,0,2973,0,1948,0,1
938,1922,0,0,20,108,0,969,0,0,2911,0,1918,0,1
939,1000,0,0,10,68,0,505,0,0,1520,0,998,0,1
940,1885,0,0,20,104,0,959,0,0,2848,0,1882,0,1
941,2000,0,0,20,126,0,1017,0,0,3023,0,2010,0,1
942,964,0,0,8,66,0,486,0,0,1464,0,966,0,1
943,1964,0,0,18,94,0,990,0,0,2966,0,1972,0,1
944,1964,0,0,18,108,0,998,0,0,2965,0,1958,0,1
945,1000,0,0,10,112,0,509,0,0,1531,0,994,0,1
946,1856,0,0,18,130,0,944,0,0,2817,0,1852,0,1
947,2000,0,0,20,120,0,1009,0,0,3029,0,1996,0,1
948,1000,0,0,10,68,0,504,0,0,1520,0,1000,0,1
949,1894,0,0,20,86,0,955,0,0,2861,0,1898,0,1
950,2000,0,0,20,118,0,1016,0,0,3021,0,2004,0,1
951,954,0,0,10,112,0,486,0,0,1464,0,958,0,1
952,1954,0,0,20,104,0,986,0,0,2953,0,1956,0,1
953,1934,0,0,18,96,0,976,0,0,2921,0,1924,0,1
954,1000,0,0,10,90,0,509,0,0,1520,0,990,0,1
955,1830,0,0,20,130,0,931,0,0,2778,0,1825,0,1
956,2000,0,0,20,140,0,1016,0,0,3031,0,1986,0,1
957,1000,0,0,10,90,0,504,0,0,1531,0,994,0,1
958,1901,0,0,20,82,0,959,0,0,2872,0,1900,0,1
959,2000,0,0,20,94,0,1009,0,0,3020,0,1992,0,1
960,946,0,0,10,94,0,482,0,0,1442,0,948,0,1
961,1944,0,0,20,142,0,988,0,0,2949,0,1938,0,1
962,1946,0,0,20,96,0,981,0,0,2937,0,1942,0,1
963,1000,0,0,10,86,0,504,0,0,1528,0,1000,0,1
964,1834,0,0,20,108,0,933,0,0,2773,0,1836,0,1
965,2000,0,0,20,136,0,1017,0,0,3031,0,1986,0,1
966,1000,0,0,10,94,0,509,0,0,1523,0,994,0,1
967,1887,0,0,20,116,0,952,0,0,2861,0,1884,0,1
968,2000,0,0,20,106,0,1008,0,0,3020,0,1988,0,1
969,942,0,0,10,88,0,479,0,0,1434,0,940,0,1
970,1944,0,0,20,128,0,988,0,0,2937,0,1938,0,1
971,1942,0,0,20,140,0,988,0,0,2946,0,1942,0,1
972,1000,0,0,10,86,0,505,0,0,1530,0,994,0,1
973,1834,0,0,20,120,0,926,0,0,2782,0,1838,0,1
974,2000,0,0,20,116,0,1017,0,0,3021,0,2000,0,1
975,1000,0,0,10,88,0,508,0,0,1519,0,994,0,1
976,1887,0,0,20,120,0,960,0,0,2852,0,1872,0,1
977,2000,0,0,20,118,0,1008,0,0,3028,0,1990,0,1
978,970,0,0,10,64,0,490,0,0,1472,0,960,0,1
979,1969,0,0,20,124,0,1001,0,0,2978,0,1958,0,1
980,1914,0,0,18,110,0,974,0,0,2890,0,1904,0,1
981,1000,0,0,10,108,0,508,0,0,1532,0,994,0,1
982,1880,0,0,20,116,0,948,0,0,2849,0,1868,0,1
983,2000,0,0,20,114,0,1008,0,0,3030,0,1984,0,1
984,1000,0,0,10,64,0,505,0,0,1517,0,996,0,1
985,1892,0,0,20,118,0,962,0,0,2862,0,1886,0,1
986,2000,0,0,20,110,0,1017,0,0,3019,0,1998,0,1
987,984,0,0,10,64,0,497,0,0,1494,0,978,0,1
988,1986,0,0,20,88,0,1001,0,0,2999,0,1970,0,1
989,1894,0,0,20,112,0,963,0,0,2860,0,1878,0,1
990,1000,0,0,10,108,0,509,0,0,1532,0,996,0,1
991,1870,0,0,20,128,0,952,0,0,2838,0,1866,0,1
992,2000,0,0,20,118,0,1009,0,0,3030,0,1990,0,1
993,1000,0,0,10,64,0,504,0,0,1517,0,990,0,1
994,1906,0,0,20,86,0,962,0,0,2879,0,1900,0,1
995,2000,0,0,20,110,0,1016,0,0,3019,0,1996,0,1
996,974,0,0,10,108,0,496,0,0,1491,0,970,0,1
997,1974,0,0,20,96,0,995,0,0,2981,0,1958,0,1
998,1904,0,0,20,98,0,962,0,0,2872,0,1894,0,1
999,1000,0,0,10,86,0,509,0,0,1521,0,992,0,1
1000,1872,0,0,20,132,0,952,0,0,2843,0,1860,0,1
1001,2000,0,0,20,138,0,1016,0,0,3032,0,1996,0,1
1002,1000,0,0,10,86,0,504,0,0,1528,0,994,0,1
1003,1902,0,0,20,98,0,959,0,0,2872,0,1894,0,1
1004,2000,0,0,20,98,0,1009,0,0,3017,0,1984,0,1
1005,984,0,0,10,84,0,502,0,0,1496,0,978,0,1
1006,1984,0,0,20,142,0,1008,0,0,3011,0,1970,0,1
1007,1880,0,0,20,86,0,948,0,0,2835,0,1870,0,1
1008,1000,0,0,10,86,0,504,0,0,1530,0,992,0,1
1009,1878,0,0,20,118,0,955,0,0,2838,0,1860,0,1
1010,2000,0,0,20,150,0,1017,0,0,3032,0,1988,0,1
1011,1000,0,0,10,86,0,509,0,0,1519,0,994,0,1
1012,1900,0,0,20,108,0,958,0,0,2883,0,1885,0,1
1013,2000,0,0,20,94,0,1008,0,0,3017,0,1988,0,1
1014,978,0,0,10,84,0,497,0,0,1486,0,968,0,1
1015,1978,0,0,20,120,0,1005,0,0,2989,0,1970,0,1
1016,1889,0,0,20,114,0,953,0,0,2861,0,1878,0,1
1017,1000,0,0,10,86,0,505,0,0,1530,0,994,0,1
1018,1881,0,0,20,136,0,949,0,0,2851,0,1864,0,1
1019,2000,0,0,20,114,0,1017,0,0,3021,0,1996,0,1
1020,1000,0,0,10,86,0,508,0,0,1519,0,990,0,1
1021,1892,0,0,20,108,0,954,0,0,2859,0,1884,0,1
1022,2000,0,0,20,122,0,1008,0,0,3028,0,1990,0,1
1023,974,0,0,10,62,0,492,0,0,1478,0,968,0,1
1024,1972,0,0,20,112,0,1002,0,0,2979,0,1966,0,1
1025,1908,0,0,20,110,0,971,0,0,2881,0,1904,0,1
1026,1000,0,0,10,86,0,504,0,0,1530,0,990,0,1
1027,1890,0,0,20,108,0,953,0,0,2868,0,1880,0,1
1028,2000,0,0,20,120,0,1008,0,0,3030,0,1980,0,1
1029,1000,0,0,10,64,0,505,0,0,1517,0,994,0,1
1030,1906,0,0,20,108,0,969,0,0,2880,0,1896,0,1
1031,2000,0,0,20,92,0,1009,0,0,3017,0,1990,0,1
1032,990,0,0,10,62,0,499,0,0,1502,0,986,0,1
1033,1948,0,0,18,96,0,982,0,0,2944,0,1936,0,1
1034,1928,0,0,20,116,0,980,0,0,2911,0,1916,0,1
1035,1000,0,0,10,108,0,509,0,0,1532,0,994,0,1
1036,1875,0,0,20,126,0,946,0,0,2843,0,1858,0,1
1037,2000,0,0,20,124,0,1009,0,0,3030,0,1992,0,1
1038,986,0,0,8,62,0,497,0,0,1496,0,980,0,1
1039,1934,0,0,18,94,0,976,0,0,2921,0,1922,0,1
1040,1988,0,0,18,108,0,1010,0,0,3001,0,1972,0,1
1041,1000,0,0,10,86,0,504,0,0,1528,0,990,0,1
1042,1900,0,0,18,82,0,958,0,0,2869,0,1886,0,1
1043,2000,0,0,20,106,0,1009,0,0,3017,0,1990,0,1
1044,1000,0,0,10,86,0,509,0,0,1521,0,994,0,1
1045,1880,0,0,20,142,0,957,0,0,2854,0,1866,0,1
1046,2000,0,0,20,114,0,1008,0,0,3030,0,1984,0,1
1047,946,0,0,10,86,0,477,0,0,1448,0,940,0,1
1048,1946,0,0,20,106,0,981,0,0,2941,0,1934,0,1
1049,1946,0,0,20,146,0,990,0,0,2951,0,1932,0,1
1050,1000,0,0,10,86,0,509,0,0,1519,0,994,0,1
1051,1854,0,0,20,122,0,935,0,0,2812,0,1842,0,1
1052,2000,0,0,20,92,0,1008,0,0,3017,0,1992,0,1
1053,1000,0,0,10,88,0,504,0,0,1530,0,996,0,1
1054,1872,0,0,20,132,0,952,0,0,2833,0,1860,0,1
1055,2000,0,0,20,142,0,1017,0,0,3032,0,1986,0,1
1056,968,0,0,10,86,0,489,0,0,1482,0,960,0,1
1057,1970,0,0,20,110,0,993,0,0,2983,0,1958,0,1
1058,1918,0,0,18,86,0,967,0,0,2896,0,1906,0,1
1059,1000,0,0,10,88,0,508,0,0,1519,0,1000,0,1
1060,1888,0,0,20,114,0,960,0,0,2854,0,1875,0,1
1061,2000,0,0,20,116,0,1008,0,0,3028,0,1986,0,1
1062,1000,0,0,12,94,0,505,0,0,1531,0,1032,0,1
1063,1850,0,0,22,116,0,934,0,0,2806,0,1900,0,1
1064,2000,0,0,22,116,0,1017,0,0,3021,0,2012,0,1
1065,978,0,0,10,112,0,497,0,0,1498,0,972,0,1
1066,1978,0,0,20,120,0,997,0,0,2997,0,1982,0,1
1067,1874,0,0,18,116,0,945,0,0,2838,0,1870,0,1
1068,1000,0,0,10,68,0,505,0,0,1520,0,994,0,1
1069,1878,0,0,20,148,0,956,0,0,2852,0,1870,0,1
1070,2000,0,0,20,122,0,1017,0,0,3023,0,1988,0,1
1071,1000,0,0,10,86,0,504,0,0,1528,0,992,0,1
1072,1898,0,0,20,98,0,957,0,0,2866,0,1882,0,1
1073,2000,0,0,20,110,0,1008,0,0,3028,0,1986,0,1
1074,984,0,0,10,112,0,501,0,0,1507,0,976,0,1
1075,1976,0,0,18,138,0,1003,0,0,2997,0,1964,0,1
1076,1872,0,0,20,114,0,945,0,0,2836,0,1852,0,1
1077,1000,0,0,10,64,0,504,0,0,1519,0,992,0,1
1078,1900,0,0,20,98,0,959,0,0,2870,0,1900,0,1
1079,2000,0,0,20,114,0,1016,0,0,3022,0,1982,0,1
1080,1000,0,0,10,112,0,509,0,0,1531,0,996,0,1
1081,1886,0,0,20,98,0,951,0,0,2852,0,1870,0,1
1082,2000,0,0,20,120,0,1009,0,0,3029,0,1986,0,1
1083,980,0,0,10,62,0,494,0,0,1486,0,972,0,1
1084,1978,0,0,20,106,0,1005,0,0,2988,0,1976,0,1
1085,1892,0,0,20,128,0,963,0,0,2869,0,1878,0,1
1086,1000,0,0,10,90,0,504,0,0,1531,0,994,0,1
1087,1890,0,0,20,108,0,953,0,0,2866,0,1890,0,1
1088,2000,0,0,20,98,0,1009,0,0,3020,0,1992,0,1
1089,1000,0,0,10,86,0,509,0,0,1519,0,992,0,1
1090,1890,0,0,20,104,0,962,0,0,2856,0,1880,0,1
1091,2000,0,0,20,116,0,1008,0,0,3028,0,1990,0,1
1092,976,0,0,10,86,0,492,0,0,1492,0,968,0,1
1093,1978,0,0,20,98,0,997,0,0,2987,0,1964,0,1
1094,1892,0,0,20,136,0,963,0,0,2869,0,1874,0,1
1095,1000,0,0,10,90,0,509,0,0,1522,0,998,0,1
1096,1892,0,0,20,130,0,954,0,0,2870,0,1876,0,1
1097,2000,0,0,20,88,0,1008,0,0,3019,0,1992,0,1
1098,974,0,0,8,62,0,491,0,0,1478,0,974,0,1
1099,1938,0,0,18,112,0,986,0,0,2930,0,1936,0,1
1100,1974,0,0,18,140,0,1004,0,0,2992,0,1962,0,1
1101,1000,0,0,10,90,0,505,0,0,1529,0,994,0,1
1102,1858,0,0,20,100,0,938,0,0,2807,0,1844,0,1
1103,2000,0,0,20,94,0,1008,0,0,3017,0,1980,0,1
1104,1000,0,0,10,86,0,508,0,0,1521,0,990,0,1
1105,1874,0,0,20,146,0,955,0,0,2844,0,1860,0,1
1106,2000,0,0,20,130,0,1008,0,0,3031,0,1986,0,1
1107,948,0,0,10,68,0,479,0,0,1442,0,938,0,1
1108,1950,0,0,20,120,0,991,0,0,2945,0,1948,0,1
1109,1950,0,0,20,120,0,991,0,0,2947,0,1934,0,1
1110,1000,0,0,10,108,0,508,0,0,1530,0,996,0,1
1111,1876,0,0,20,126,0,947,0,0,2847,0,1862,0,1
1112,2000,0,0,20,116,0,1008,0,0,3028,0,1996,0,1
1113,1000,0,0,10,68,0,505,0,0,1520,0,990,0,1
1114,1888,0,0,20,130,0,961,0,0,2854,0,1880,0,1
1115,2000,0,0,20,122,0,1017,0,0,3022,0,1988,0,1
1116,986,0,0,10,64,0,497,0,0,1496,0,978,0,1
1117,1986,0,0,20,142,0,1002,0,0,3012,0,1978,0,1
1118,1876,0,0,20,116,0,953,0,0,2833,0,1858,0,1
1119,1000,0,0,10,112,0,509,0,0,1531,0,990,0,1
1120,1874,0,0,20,126,0,953,0,0,2832,0,1872,0,1
1121,2000,0,0,20,120,0,1009,0,0,3029,0,1990,0,1
1122,1000,0,0,10,64,0,504,0,0,1519,0,1002,0,1
1123,1877,0,0,20,120,0,948,0,0,2847,0,1896,0,1
1124,2000,0,0,20,120,0,1016,0,0,3021,0,2008,0,1
1125,972,0,0,10,112,0,496,0,0,1491,0,966,0,1
1126,1974,0,0,20,128,0,995,0,0,2992,0,1970,0,1
1127,1891,0,0,20,92,0,955,0,0,2857,0,1884,0,1
1128,1000,0,0,10,64,0,504,0,0,1517,0,990,0,1
1129,1886,0,0,20,118,0,961,0,0,2852,0,1880,0,1
1130,2000,0,0,20,136,0,1016,0,0,3030,0,1992,0,1
1131,1000,0,0,10,90,0,504,0,0,1531,0,994,0,1
1132,1892,0,0,20,108,0,955,0,0,2869,0,1886,0,1
1133,2000,0,0,20,92,0,1009,0,0,3020,0,1990,0,1
1134,972,0,0,10,88,0,495,0,0,1480,0,964,0,1
1135,1970,0,0,20,130,0,1002,0,0,2988,0,1958,0,1
1136,1902,0,0,20,96,0,959,0,0,2872,0,1894,0,1
1137,1000,0,0,10,86,0,504,0,0,1528,0,992,0,1
1138,1890,0,0,20,86,0,953,0,0,2855,0,1880,0,1
1139,2000,0,0,20,136,0,1017,0,0,3031,0,1988,0,1
1140,1000,0,0,10,90,0,509,0,0,1522,0,990,0,1
1141,1897,0,0,20,104,0,957,0,0,2875,0,1898,0,1
1142,2000,0,0,20,90,0,1008,0,0,3019,0,1982,0,1
1143,982,0,0,10,84,0,499,0,0,1494,0,978,0,1
1144,1982,0,0,20,142,0,1008,0,0,3006,0,1970,0,1
1145,1908,0,0,20,134,0,971,0,0,2895,0,1894,0,1
1146,1000,0,0,10,90,0,505,0,0,1529,0,992,0,1
1147,1904,0,0,20,88,0,960,0,0,2875,0,1890,0,1
1148,2000,0,0,20,92,0,1008,0,0,3017,0,1992,0,1
1149,990,0,0,8,84,0,503,0,0,1504,0,988,0,1
1150,1902,0,0,18,128,0,969,0,0,2886,0,1890,0,1
1151,1992,0,0,18,114,0,1004,0,0,3016,0,1978,0,1
1152,984,0,0,10,66,0,497,0,0,1496,0,982,0,1
1153,1924,0,0,18,114,0,978,0,0,2908,0,1918,0,1
1154,1984,0,0,20,113,0,1008,0,0,2998,0,1974,0,1
1155,1000,0,0,10,108,0,508,0,0,1530,0,998,0,1
1156,1884,0,0,20,106,0,951,0,0,2856,0,1876,0,1
1157,2000,0,0,20,116,0,1008,0,0,3028,0,1980,0,1
1158,972,0,0,8,66,0,491,0,0,1476,0,970,0,1
1159,1956,0,0,18,102,0,993,0,0,2954,0,1944,0,1
1160,1972,0,0,18,114,0,1003,0,0,2978,0,1958,0,1
1161,1000,0,0,10,64,0,504,0,0,1519,0,994,0,1
1162,1854,0,0,20,126,0,935,0,0,2811,0,1841,0,1
1163,2000,0,0,20,114,0,1016,0,0,3021,0,1980,0,1
1164,1000,0,0,10,112,0,509,0,0,1531,0,992,0,1
1165,1874,0,0,20,130,0,954,0,0,2836,0,1866,0,1
1166,2000,0,0,20,118,0,1008,0,0,3029,0,1980,0,1
1167,948,0,0,10,64,0,478,0,0,1439,0,938,0,1
1168,1950,0,0,20,112,0,991,0,0,2945,0,1942,0,1
1169,1948,0,0,20,136,0,990,0,0,2953,0,1936,0,1
1170,1000,0,0,10,90,0,504,0,0,1531,0,992,0,1
1171,1852,0,0,20,118,0,934,0,0,2809,0,1840,0,1
1172,2000,0,0,20,92,0,1008,0,0,3020,0,1984,0,1
1173,1000,0,0,10,64,0,504,0,0,1517,0,998,0,1
1174,1888,0,0,20,120,0,960,0,0,2851,0,1884,0,1
1175,2000,0,0,20,136,0,1008,0,0,3028,0,1990,0,1
1176,946,0,0,10,86,0,477,0,0,1447,0,940,0,1
1177,1948,0,0,20,102,0,982,0,0,2941,0,1932,0,1
1178,1946,0,0,20,144,0,989,0,0,2950,0,1940,0,1
1179,1000,0,0,10,90,0,509,0,0,1522,0,992,0,1
1180,1858,0,0,20,118,0,937,0,0,2820,0,1850,0,1
1181,2000,0,0,20,92,0,1008,0,0,3019,0,1984,0,1
1182,1000,0,0,10,86,0,504,0,0,1528,0,992,0,1
1183,1886,0,0,20,100,0,951,0,0,2849,0,1872,0,1
1184,2000,0,0,20,150,0,1016,0,0,3031,0,1984,0,1
1185,976,0,0,10,90,0,493,0,0,1493,0,972,0,1
1186,1976,0,0,20,108,0,996,0,0,2986,0,1964,0,1
1187,1904,0,0,18,92,0,961,0,0,2874,0,1892,0,1
1188,1000,0,0,10,86,0,508,0,0,1521,0,990,0,1
1189,1882,0,0,20,140,0,957,0,0,2855,0,1866,0,1
1190,2000,0,0,20,114,0,1008,0,0,3031,0,1984,0,1
1191,1000,0,0,10,90,0,505,0,0,1529,0,990,0,1
1192,1904,0,0,20,86,0,960,0,0,2875,0,1890,0,1
1193,2000,0,0,20,98,0,1008,0,0,3017,0,1988,0,1
1194,962,0,0,10,108,0,489,0,0,1473,0,954,0,1
1195,1962,0,0,20,126,0,989,0,0,2974,0,1956,0,1
1196,1912,0,0,20,110,0,964,0,0,2896,0,1896,0,1
1197,1000,0,0,10,68,0,505,0,0,1520,0,994,0,1
1198,1888,0,0,20,126,0,960,0,0,2854,0,1877,0,1
1199,2000,0,0,20,124,0,1016,0,0,3022,0,1994,0,1
1200,1000,0,0,10,86,0,505,0,0,1528,0,992,0,1
1201,1892,0,0,20,108,0,955,0,0,2870,0,1876,0,1
1202,2000,0,0,20,110,0,1008,0,0,3028,0,1988,0,1
1203,1002,0,0,10,112,0,510,0,0,1534,0,996,0,1
1204,2002,0,0,20,124,0,1017,0,0,3026,0,1992,0,1
1205,1870,0,0,20,126,0,944,0,0,2834,0,1854,0,1
1206,1000,0,0,10,64,0,504,0,0,1519,0,990,0,1
1207,1898,0,0,20,122,0,957,0,0,2878,0,1882,0,1
1208,2000,0,0,20,114,0,1016,0,0,3021,0,1982,0,1
1209,1000,0,0,10,112,0,509,0,0,1531,0,994,0,1
1210,1883,0,0,20,102,0,950,0,0,2844,0,1870,0,1
1211,2000,0,0,20,122,0,1008,0,0,3029,0,1986,0,1
1212,976,0,0,10,62,0,492,0,0,1481,0,968,0,1
1213,1974,0,0,20,136,0,1003,0,0,2985,0,1960,0,1
1214,1936,0,0,20,130,0,984,0,0,2934,0,1920,0,1
1215,1000,0,0,10,90,0,504,0,0,1531,0,992,0,1
1216,1894,0,0,20,120,0,955,0,0,2872,0,1878,0,1
1217,2000,0,0,20,98,0,1008,0,0,3020,0,1984,0,1
1218,988,0,0,8,62,0,498,0,0,1499,0,984,0,1
1219,1932,0,0,18,114,0,982,0,0,2918,0,1918,0,1
1220,1988,0,0,18,88,0,1002,0,0,2999,0,1978,0,1
1221,1000,0,0,10,86,0,504,0,0,1528,0,992,0,1
1222,1896,0,0,18,92,0,956,0,0,2864,0,1886,0,1
1223,1994,0,0,20,140,0,1013,0,0,3020,0,1976,0,1
1224,1000,0,0,10,90,0,509,0,0,1522,0,992,0,1
1225,1900,0,0,20,106,0,958,0,0,2880,0,1888,0,1
1226,2000,0,0,20,90,0,1008,0,0,3019,0,1986,0,1
1227,946,0,0,10,64,0,477,0,0,1438,0,940,0,1
1228,1948,0,0,20,129,0,990,0,0,2947,0,1936,0,1
1229,1946,0,0,20,140,0,989,0,0,2952,0,1932,0,1
1230,1000,0,0,10,90,0,505,0,0,1529,0,994,0,1
1231,1862,0,0,20,96,0,940,0,0,2814,0,1848,0,1
1232,2000,0,0,20,92,0,1008,0,0,3017,0,1984,0,1
1233,1000,0,0,10,86,0,508,0,0,1521,0,992,0,1
1234,1880,0,0,20,142,0,956,0,0,2854,0,1868,0,1
1235,2000,0,0,20,114,0,1008,0,0,3031,0,1986,0,1
1236,952,0,0,10,68,0,481,0,0,1448,0,946,0,1
1237,1952,0,0,20,100,0,984,0,0,2947,0,1942,0,1
1238,1952,0,0,20,120,0,992,0,0,2950,0,1936,0,1
1239,1000,0,0,10,108,0,509,0,0,1530,0,994,0,1
1240,1886,0,0,20,106,0,951,0,0,2858,0,1870,0,1
1241,2000,0,0,20,112,0,1008,0,0,3028,0,1984,0,1
1242,1000,0,0,10,68,0,505,0,0,1520,0,994,0,1
1243,1898,0,0,20,104,0,965,0,0,2867,0,1880,0,1
1244,2000,0,0,20,118,0,1017,0,0,3022,0,1984,0,1
1245,970,0,0,10,64,0,490,0,0,1474,0,962,0,1
1246,1970,0,0,20,120,0,993,0,0,2985,0,1954,0,1
1247,1924,0,0,18,88,0,970,0,0,2905,0,1908,0,1
1248,1000,0,0,10,112,0,509,0,0,1531,0,994,0,1
1249,1881,0,0,20,116,0,957,0,0,2843,0,1868,0,1
1250,2000,0,0,20,114,0,1008,0,0,3029,0,1984,0,1
1251,1000,0,0,10,64,0,505,0,0,1519,0,992,0,1
1252,1896,0,0,20,108,0,956,0,0,2874,0,1888,0,1
1253,2000,0,0,20,118,0,1017,0,0,3021,0,1982,0,1
1254,958,0,0,10,112,0,488,0,0,1470,0,958,0,1
1255,1958,0,0,20,132,0,987,0,0,2971,0,1954,0,1
1256,1916,0,0,20,92,0,967,0,0,2895,0,1914,0,1
1257,1000,0,0,10,64,0,505,0,0,1517,0,992,0,1
1258,1890,0,0,20,124,0,962,0,0,2857,0,1872,0,1
1259,2000,0,0,20,136,0,1017,0,0,3030,0,1982,0,1
1260,1000,0,0,10,90,0,504,0,0,1531,0,990,0,1
1261,1893,0,0,20,122,0,955,0,0,2872,0,1882,0,1
1262,2000,0,0,20,100,0,1008,0,0,3020,0,1980,0,1
1263,972,0,0,10,88,0,496,0,0,1480,0,962,0,1
1264,1970,0,0,20,140,0,1002,0,0,2989,0,1962,0,1
1265,1904,0,0,20,90,0,961,0,0,2875,0,1888,0,1
1266,1000,0,0,10,86,0,504,0,0,1528,0,990,0,1
1267,1888,0,0,20,94,0,952,0,0,2852,0,1880,0,1
1268,2000,0,0,20,142,0,1016,0,0,3031,0,1984,0,1
1269,1000,0,0,10,90,0,509,0,0,1522,0,992,0,1
1270,1898,0,0,20,108,0,958,0,0,2879,0,1888,0,1
1271,2000,0,0,20,94,0,1009,0,0,3019,0,1982,0,1
1272,982,0,0,10,84,0,500,0,0,1493,0,972,0,1
